dataset,n,metodo,tiempo,costo
dataset_aleatorias,580,VMC,2.74717,7443
dataset_aleatorias,590,AGM,2.74717,42668
dataset_aleatorias,590,VMC,2.74717,7542
dataset_aleatorias,600,AGM,2.74717,46659
dataset_aleatorias,600,VMC,2.74717,7570
dataset_aleatorias,610,AGM,2.74717,44173
dataset_aleatorias,610,VMC,2.74717,7819
dataset_aleatorias,620,AGM,2.74717,46590
dataset_aleatorias,620,VMC,2.74717,7668
dataset_aleatorias,630,AGM,2.74717,47013
dataset_aleatorias,630,VMC,2.74717,7609
dataset_aleatorias,640,AGM,2.74717,49176
dataset_aleatorias,640,VMC,2.74717,7844
dataset_aleatorias,650,AGM,2.74717,49928
dataset_aleatorias,650,VMC,2.74717,8124
dataset_aleatorias,660,AGM,2.74717,49151
dataset_aleatorias,660,VMC,2.74717,8243
dataset_aleatorias,670,AGM,2.74717,46380
dataset_aleatorias,670,VMC,2.74717,8413
dataset_aleatorias,680,AGM,2.74717,49909
dataset_aleatorias,680,VMC,2.74717,8411
dataset_aleatorias,690,AGM,2.74717,50826
dataset_aleatorias,690,VMC,2.74717,8258
dataset_aleatorias,700,AGM,2.74717,50976
dataset_aleatorias,700,VMC,2.74717,8609
dataset_aleatorias,710,AGM,2.74717,51768
dataset_aleatorias,710,VMC,2.74717,9124
dataset_aleatorias,720,AGM,2.74717,56377
dataset_aleatorias,720,VMC,2.74717,8946
dataset_aleatorias,730,AGM,2.74717,53190
dataset_aleatorias,730,VMC,2.74717,8632
dataset_aleatorias,740,AGM,2.74717,60383
dataset_aleatorias,740,VMC,2.74717,8885
dataset_aleatorias,750,AGM,2.74717,55727
dataset_aleatorias,750,VMC,2.74717,9150
dataset_aleatorias,760,AGM,2.74717,58604
dataset_aleatorias,760,VMC,2.74717,9207
dataset_aleatorias,770,AGM,2.74717,55785
dataset_aleatorias,770,VMC,2.74717,9059
dataset_aleatorias,780,AGM,2.74717,59661
dataset_aleatorias,780,VMC,2.74717,9550
dataset_aleatorias,790,AGM,2.74717,62209
dataset_aleatorias,790,VMC,2.74717,9412
